person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
59,22461,RENT,3,VENTURE,E,25000,16.29,1,1.11,N,25
49,24004,RENT,0,MEDICAL,F,3000,15.81,1,0.12,Y,2
35,36822,MORTGAGE,15,PERSONAL,A,15000,17.91,1,0.41,N,3
63,25323,OWN,15,DEBTCONSOLIDATION,B,2000,9.74,0,0.08,Y,19
28,43514,RENT,10,MEDICAL,A,30000,13.16,0,0.69,Y,19
41,29529,OWN,0,HOMEIMPROVEMENT,D,15000,15.68,1,0.51,N,7
59,46683,MORTGAGE,5,EDUCATION,B,30000,5.42,0,0.64,Y,21
39,99295,MORTGAGE,1,MEDICAL,C,10000,11.03,0,0.1,Y,9
43,47825,MORTGAGE,0,PERSONAL,A,3000,16.13,0,0.06,N,2
31,42130,RENT,8,DEBTCONSOLIDATION,D,1000,9.04,0,0.02,N,16
31,59523,MORTGAGE,15,DEBTCONSOLIDATION,C,7500,20.32,0,0.13,N,11
44,34606,OWN,15,EDUCATION,D,5000,5.48,0,0.14,N,5
56,74735,RENT,9,MEDICAL,D,15000,20.33,1,0.2,N,11
60,62793,MORTGAGE,1,VENTURE,A,1000,8.47,0,0.02,N,12
44,49982,RENT,3,MEDICAL,C,15000,5.78,0,0.3,N,6
23,52952,RENT,4,PERSONAL,D,10000,9.68,0,0.19,N,10
42,136062,MORTGAGE,10,PERSONAL,C,15000,17.58,0,0.11,Y,6
22,78523,RENT,12,VENTURE,B,25000,17.04,0,0.32,N,12
44,147231,MORTGAGE,5,MEDICAL,D,20000,8.34,0,0.14,N,4
64,63960,RENT,5,EDUCATION,F,35000,8.15,1,0.55,N,28
50,23485,OTHER,0,PERSONAL,F,3000,15.28,1,0.13,N,5
58,42998,RENT,3,EDUCATION,D,10000,12.33,0,0.23,Y,11
22,20950,RENT,5,PERSONAL,C,10000,17.68,1,0.48,N,8
41,63841,RENT,1,DEBTCONSOLIDATION,B,10000,5.39,0,0.16,N,2
53,71161,OWN,5,EDUCATION,A,20000,14.77,0,0.28,N,28
32,31477,RENT,13,EDUCATION,C,15000,16.69,1,0.48,Y,7
42,35319,RENT,7,EDUCATION,B,15000,20.89,0,0.42,N,9
64,52805,OWN,0,DEBTCONSOLIDATION,B,10000,15.86,0,0.19,N,18
45,26928,OWN,2,EDUCATION,E,35000,8.71,0,1.3,Y,25
47,25936,OWN,6,HOMEIMPROVEMENT,F,35000,6.73,0,1.35,N,8
62,91063,RENT,4,MEDICAL,F,7500,15.25,1,0.08,Y,2
48,51914,RENT,4,MEDICAL,B,3000,13.37,0,0.06,N,10
36,37084,MORTGAGE,6,EDUCATION,E,30000,19.39,1,0.81,N,12
35,21034,MORTGAGE,7,VENTURE,A,35000,16.63,1,1.66,N,20
64,75069,RENT,11,VENTURE,C,7500,13.16,0,0.1,N,3
23,34812,RENT,4,PERSONAL,D,10000,11.46,0,0.29,N,24
57,124286,OWN,12,MEDICAL,C,35000,11.47,0,0.28,N,12
27,75331,RENT,4,MEDICAL,F,25000,8.62,0,0.33,N,4
41,32726,MORTGAGE,0,MEDICAL,B,7500,5.28,0,0.23,N,18
29,34278,MORTGAGE,7,PERSONAL,C,20000,14.2,1,0.58,N,11
59,115951,MORTGAGE,7,MEDICAL,A,35000,8.4,0,0.3,N,4
38,46998,MORTGAGE,15,VENTURE,E,30000,8.33,0,0.64,N,23
24,37924,RENT,10,MEDICAL,C,25000,7.01,1,0.66,N,4
45,49705,RENT,15,MEDICAL,D,25000,8.03,1,0.5,Y,22
34,37837,MORTGAGE,15,PERSONAL,D,3000,5.51,0,0.08,N,26
29,55299,RENT,8,EDUCATION,D,30000,15.79,1,0.54,N,8
46,47197,MORTGAGE,6,PERSONAL,C,7500,11.42,0,0.16,N,3
22,75944,MORTGAGE,7,MEDICAL,B,35000,13.98,0,0.46,N,2
40,40364,MORTGAGE,15,EDUCATION,D,10000,15.19,0,0.25,N,8
48,31495,RENT,11,HOMEIMPROVEMENT,F,30000,20.56,1,0.95,N,21
27,41171,RENT,1,MEDICAL,E,7500,6.09,0,0.18,N,12
64,41046,MORTGAGE,11,PERSONAL,A,15000,11.69,0,0.37,N,24
28,47156,RENT,2,DEBTCONSOLIDATION,A,2000,8.93,0,0.04,N,7
55,67323,OWN,5,EDUCATION,C,20000,12.63,0,0.3,N,24
34,65509,OWN,2,DEBTCONSOLIDATION,D,30000,19.73,1,0.46,N,5
37,89306,RENT,9,MEDICAL,B,25000,16.58,0,0.28,Y,20
56,32671,RENT,14,VENTURE,D,15000,15.59,1,0.46,N,29
60,59537,RENT,3,VENTURE,F,1000,12.06,0,0.02,N,22
24,70520,OWN,1,HOMEIMPROVEMENT,C,35000,15.74,0,0.5,N,20
22,34992,RENT,3,VENTURE,B,25000,5.52,0,0.71,N,15
26,44186,RENT,9,PERSONAL,E,25000,14.38,1,0.57,N,4
62,20435,MORTGAGE,4,VENTURE,C,25000,13.86,0,1.22,N,5
24,77143,RENT,3,MEDICAL,C,25000,10.55,0,0.32,N,9
49,44013,RENT,2,VENTURE,B,10000,8.22,0,0.23,N,19
38,73370,RENT,6,EDUCATION,C,25000,17.92,0,0.34,Y,5
46,54340,MORTGAGE,3,PERSONAL,D,20000,5.86,0,0.37,N,12
64,44686,RENT,10,VENTURE,C,30000,6.11,1,0.67,N,17
54,22105,MORTGAGE,0,HOMEIMPROVEMENT,B,30000,12.05,0,1.36,N,4
30,24161,OWN,9,PERSONAL,D,1000,9.04,0,0.04,Y,8
56,13405,MORTGAGE,3,DEBTCONSOLIDATION,B,10000,16.93,1,0.75,N,3
34,37000,MORTGAGE,6,EDUCATION,B,1000,15.15,0,0.03,N,2
51,153142,RENT,3,EDUCATION,D,2000,17.36,0,0.01,N,27
35,25745,RENT,10,PERSONAL,E,20000,10.19,1,0.78,N,2
28,13151,RENT,15,VENTURE,B,30000,16.85,0,2.28,N,7
34,79327,MORTGAGE,15,VENTURE,B,3000,18.8,0,0.04,N,20
43,159828,RENT,7,DEBTCONSOLIDATION,D,10000,10.52,0,0.06,N,8
60,56894,RENT,6,MEDICAL,D,35000,10.44,0,0.62,N,25
41,56634,RENT,12,VENTURE,C,30000,19.4,1,0.53,N,6
36,41984,RENT,9,EDUCATION,A,15000,5.8,0,0.36,N,22
38,19987,MORTGAGE,2,MEDICAL,A,25000,10.6,0,1.25,N,29
44,23733,MORTGAGE,12,EDUCATION,D,15000,6.9,1,0.63,N,19
46,41840,RENT,5,DEBTCONSOLIDATION,C,3000,5.46,0,0.07,N,25
45,38016,MORTGAGE,2,PERSONAL,E,3000,6.81,0,0.08,N,27
61,46277,MORTGAGE,3,MEDICAL,C,5000,11.9,0,0.11,N,14
49,74210,MORTGAGE,3,PERSONAL,C,10000,15.99,0,0.13,N,2
35,36646,OWN,6,MEDICAL,F,35000,9.63,1,0.96,N,11
21,74971,RENT,3,DEBTCONSOLIDATION,B,25000,18.59,0,0.33,N,10
45,36766,RENT,1,PERSONAL,C,10000,12.0,0,0.27,N,18
27,82381,MORTGAGE,1,EDUCATION,A,15000,20.49,0,0.18,N,2
